Column1;Artist;Track;Spotify_Duration;Spotify_EurovisionYear;Spotify_Popularity
33;Anna Odobescu;Stay;180517;2019;19
9;Bilal Hassani;Roi;177250;2019;21
34;Carousel;That Night;181523;2019;25
0;Chingiz;Truth;209411;2019;0
39;Conan Osiris;Telemoveis;185688;2019;29
24;Darude;Look Away;179613;2019;25
32;D-Mol;Heaven;174782;2019;15
5;Duncan Laurence;Arcade;183624;2019;74
22;Eliot;Wake Up;179400;2019;0
31;Ester Peony;On A Sunday;184933;2019;0
7;Hatari;Hatrið Mun Sigraa;178920;2019;0
1;John Lundvik;Too Late For Love;178133;2019;0
35;Jonida Maliqi;Ktheju Tokës ;185192;2019;0
28;Jurijus;Run With The Lions;180806;2019;22
2;Kate Miller-Heidke;Zero Gravity;177443;2019;38
8;Katerine Duska;Better Love;181360;2019;29
19;Keiino;Spirit In The Sky;185157;2019;45
29;Kobi Marimi;Home;178237;2019;0
6;Lake Malawi;Friend Of A Friend;172641;2019;35
16;Leonora;Love Is Forever;181013;2019;31
11;Luca Hänni;She Got Me;180816;2019;0
4;Mahmood;Soldi;195476;2019;0
41;Maruv;Siren Song;171130;2019;40
15;Michael Rice;Bigger Than Us;178098;2019;0
3;Michela;Chameleon;179698;2019;0
38;Miki Núñez;La Venda;179558;2019;30
36;Nevena Bozovic;Kruna;187125;2019;0
40;Oto Nemsadze;Keep On Going;184878;2019;17
25;Paenda;Limits;204714;2019;15
30;Pápai Joci;Az Én Apám;183750;2019;0
37;Roko Blažević;The Dream;180074;2019;0
14;S!Sters;Sister;180000;2019;23
21;Sarah Mcternan;22;173214;2019;23
10;Sergey Lazarev;Scream;178643;2019;0
18;Serhat;Say Na Na Na;178930;2019;0
27;Srbuk;Walking Out;176903;2019;0
23;Tamara Todevska;Proud;180000;2019;33
13;Tamta;Replay;173812;2019;39
20;Tulia;Fire Of Love (Pali Si?);165846;2019;25
26;Victor Crone;Storm;185625;2019;35
17;Zalagasper;Sebi;180013;2019;25
12;Zena;Like It;181381;2019;0
62;Albina;Tick-Tock;180000;2021;35
81;Ana Sokli?;Amen;184704;2021;22
78;Anxhela Peristeri;Karma;180000;2021;0
44;Barbara Pravi;Voilà;176815;2021;66
68;Benny Cristo;Omaga;179754;2021;28
75;Blas Cantó;Voy A Quedarme;182807;2021;33
82;Blind Channel;Dark Side;177789;2021;0
46;Daði Freyr;10 Years;166000;2021;0
47;Destiny;Je Me Casse ;178500;2021;17
53;Eden Alene;Set Me Free;179439;2021;40
54;Efendi;Mata Hari;160980;2021;48
61;Elena Tsagrinou;El Diablo;181546;2021;23
57;Fyr Og Flamme;Øve Os På Hinanden;186750;2021;35
45;Gjon'S Tears;Tout L'Univers;183706;2021;0
43;Go_A;Shum;172675;2021;0
70;Hooverphonic;The Wrong Place;176506;2021;39
77;Hurricane;Loco Loco;175375;2021;0
60;James Newman;Embers;175914;2021;0
